вкусно и быстро,vkusno-i-bystro
легко и просто,legko-i-prosto
быстрое приготовление,bystroye-prigotovlenie
вкусные рецепты,vkusnyye-recepty
готовим за 30 минут,gotovim-za-30-minut
простые блюда,prostyye-blyuda
вкусные закуски,vkusnyye-zakuski
домашняя кухня,domashnyaya-kukhnya
рецепты на скорую руку,recepty-na-skoruyu-ruku
удивительные десерты,udivitel'nyye-deserty
здоровое питание,zdorovoye-pitaniye
вегетарианские блюда,vegetarianskiye-blyuda
классические рецепты,klassicheskiye-recepty
быстрые завтраки,bystryye-zavtraki
праздничные угощения,prazdnichnyye-ugoshcheniya
супы за 15 минут,supy-za-15-minut
выпечка для начинающих,vypechka-dlya-nachinayushchikh
основные блюда,osnovnyye-blyuda
рецепты для всей семьи,recepty-dlya-vsey-semi
экспресс-ужин,ekspress-uzhin
вкусные салаты,vkusnyye-salaty
